Clean Name
jpmorgan chase  co
juniper networks
kansas city southern
kellogg co
key
kimberly-clark
kimco realty
kinder morgan
kla-tencor 
kohls 
kraft heinz co
kroger co
l brands 
l-3 communications holdings
laboratory corp of america holding
lam research
leggett  platt
lennar 
leucadia national 
lilly   co
loln national
lkq 
lockheed martin 
loews 
lowes cos
lyondellbasell
mt bank 
macerich
macys 
marathon oil 
marathon petroleum
marriott intl
marsh  mclennan
martin marietta materials
masco 
mastercard 
mattel 
mccormick  co
mcdonalds 
mckesson 
medtronic plc
merck  co
metlife 
mettler toledo
mgm resorts international
michael kors holdings
microchip technology
micron technology
microsoft 
mid-america apartments
mohawk industries
molson coors brewing company
mondelez international
monsanto co
monster beverage
moodys 
morgan stanley
motorola solutions 
mylan nv
nasdaq 
national oilwell varco 
navient
nektar therapeutics
netapp
netflix 
newell brands
newfield exploration co
newmont mining 
news corp class a
news corp class b
nextera energy
nielsen holdings
nike
nisource 
noble energy 
nordstrom
norfolk southern 
northern trust 
northrop grumman 
norwegian cruise line
nrg energy
nucor 
nvidia 
oreilly automotive
occidental petroleum
omnicom group
oneok
oracle 
paccar 
packaging corporation of america
parker-hannifin
paychex 
paypal
pentair ltd
peoples united financial
pepsico 
perkinelmer
perrigo
pfizer 
pge 
philip morris international
phillips 66
pinnacle west capital
pioneer natural resources
pnc financial services
polo ralph lauren 
ppg industries
ppl 
praxair 
pripal financial group
procter  gamble
progressive 
prologis
prudential financial
public serv enterprise 
public storage
pulte homes 
pvh 
qorvo
qualcomm 
quanta services 
quest diagnostics
range resources 
raymond james financial 
raytheon co
realty ome 
red hat 
regency centers 
regeneron
regions financial 
republic services 
resmed
robert half international
rockwell automation 
rockwell collins
roper technologies
ross stores
royal caribbean cruises ltd
sp global 
salesforcecom
sba communications
scana 
schlumberger ltd
seagate technology
sealed air
sempra energy
sherwin-williams
simon property group 
skyworks solutions
sl green realty
snap-on 
southern co
southwest airlines
stanley black  decker
starbucks 
state street 
stericycle 
stryker 
suntrust banks
svb financial
symantec 
synchrony financial
synopsys 
sysco 
t rowe price group
take-two interactive
tapestry 
target 
te connectivity ltd
technipfmc
texas instruments
textron 
the bank of new york mellon 
the clorox company
the cooper companies
the hershey company
the mosaic company
the travelers companies 
the walt disney company
thermo fisher scientific
tiffany  co
time warner 
tjx companies 
torchmark 
total system services
tractor supply company
transdigm group
tripadvisor
twenty-first century fox class a
twenty-first century fox class b
tyson foods
us ban
udr 
ulta beauty
under armour class a
under armour class c
union pacific
united continental holdings
united health group 
united parcel service
united rentals 
united technologies
universal health services 
unum group
vf 
valero energy
varian medical systems
ventas 
verisign 
verisk analytics
verizon communications
vertex pharmaceuticals 
viacom 
visa 
vornado realty trust
vulcan materials
wal-mart stores
walgreens boots alliance
waste management 
waters 
wec energy group 
wells fargo
welltower 
western digital
western union co
westrock company
weyerhaeuser 
whirlpool 
williams cos
willis towers watson
wyndham worldwide
wynn resorts ltd
xcel energy 
xerox 
xilinx 
xl capital
xylem 
yum! brands 
zimmer biomet holdings
zions ban
zoetis
